연도,2017,2018,2019,2020,2021,2022
강원도,708,681,674,675,659,642
경기도,"2,426","2,386","2,396","2,391","2,361","2,330"
경상남도,"1,166","1,150","1,135","1,117","1,090","1,071"
경상북도,"1,314","1,278","1,287","1,263","1,264","1,246"
광주광역시,288,280,277,269,262,260
대구광역시,374,369,364,348,343,332
대전광역시,251,240,240,236,227,220
부산광역시,433,427,416,403,387,380
서울특별시,537,508,496,488,470,442
세종특별자치시,64,64,66,68,69,67
울산광역시,250,244,239,240,237,234
인천광역시,349,346,342,336,330,323
전라남도,926,904,902,899,877,869
전라북도,918,906,903,902,883,856
제주도,193,193,194,194,194,194
충청남도,"1,055","1,034","1,033","1,026","1,008","1,002"
충청북도,755,740,736,734,717,713
주유소계,"12,007","11,750","11,700","11,589","11,378","11,181"
