주유소명,전화번호,전기차 충전소,수소차 충전소
황전(광양)주유소,061-782-1737,O,X
황전(전주)주유소,061-782-1701,O,X
행담도(시흥)주유소,041-357-8141,O,X
행담도(목포)주유소,041-357-8141,O,X
통도사(부산)주유소,055-372-6163,O,X
서울하이패스센터쉼터충전소,031-714-7255,X,X
보성녹차(광양)주유소,070-4325-8805,O,X
보성녹차(목포)주유소,070-4325-8800,O,X
옥천만남의광장주유소,043-732-0081,O,X
마장복합(하남)주유소,031-630-0051,O,X
마장복합(통영)주유소,031-630-0052,O,X
금왕(평택)주유소,043-882-8030,O,X
금왕(제천)주유소,043-881-8122,O,X
강천산(대구)주유소,063-653-3068,O,X
천등산(제천)주유소,043-844-2988,O,X
천등산(평택)주유소,,O,X
강천산(광주)주유소,063-000-0000,O,X
외동(포항)주유소,054-745-0024,O,X
외동(울산)주유소,054-745-0086,O,X
논공(광주)주유소,070-4303-0610,O,X
논공(대구)주유소,070-4304-0630,O,X
정안(논산)주유소,041-858-0531,O,X
정안(천안)주유소,041-858-0565,O,X
이인(천안)주유소,041-856-8741,O,X
탄천(논산)주유소,041-854-3526,O,X
청도(부산)주유소,054-372-0070,O,X
청도(대구)주유소,054-371-5103,O,X
가평(춘천)주유소,031-584-5159,O,X
가평(서울)주유소,031-584-5149,O,X
오산(동탄)주유소,031-375-5157,O,X
오산(과천)주유소,031-378-5158,O,X
장안(울산)주유소,051-728-5157,O,X
장안(부산)주유소,051-727-7300,O,X
건천(부산)주유소,054-751-6891,O,X
송산(평택)주유소,031-357-8194,O,X
송산(시흥)주유소,031-357-8192,O,X
양주(판교)주유소,031-871-2996,X,X
기념관(공항)주유소,032-563-4355,O,X
양평(광주)주유소,318-027-2194,X,X
양평(원주)주유소,318-027-2175,X,X
광주(광주)주유소,318-027-3948,X,X
광주(원주)주유소,318-027-3943,X,X
의성(영덕)주유소,054-862-9036,O,X
의성(청주)주유소,054-862-9254,O,X
청송(영덕)주유소,054-872-5911,X,X
