연도,2025,2030,2035,2040,2045,2050,,,,,,,,
총 차량 수,"27,960,043","31,444,657","34,929,270","38,415,791","41,900,404","45,385,017",,,,,,,,
친환경 자동차 수,"196,109","287,439","378,770","470,151","561,482","652,812",,,,,,,,
전기 자동차 수,"196,109","287,439","378,770","470,151","561,482","652,812",,,,,,,,
주유소 수,"10,759","9,994","9,229","8,463","7,698","6,933",,,,,,,,
필요한 전기차 충전기 수,"31,778","46,577","61,377","76,184","90,984","105,783",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
